Audit year: 2020
weekly MT January  2
weekly MT January  9
weekly MT January 16
weekly MT January 23
weekly MT January 30
monthly MT January 31
weekly MT February  6
weekly MT February 13
weekly MT February 20
weekly MT February 27
monthly MT February 29
weekly MT March  5
weekly MT March 12
weekly MT March 19
weekly MT March 26
monthly MT March 31
weekly MT April  2
weekly MT April  9
weekly MT April 16
weekly MT April 23
weekly MT April 30
monthly MT April 30
weekly MT May  7
weekly MT May 14
weekly MT May 21
weekly MT May 28
monthly MT May 31
weekly MT June  4
weekly MT June 11
weekly MT June 18
weekly MT June 25
monthly MT June 30
weekly MT July  2
weekly MT July  9
weekly MT July 16
weekly MT July 23
weekly MT July 30
monthly MT July 31
weekly MT August  6
weekly MT August 13
weekly MT August 20
weekly MT August 27
monthly MT August 31
weekly MT September  3
weekly MT September 10
weekly MT September 17
weekly MT September 24
monthly MT September 30
weekly MT October  1
weekly MT October  8
weekly MT October 15
weekly MT October 22
weekly MT October 29
monthly MT October 31
weekly MT November  5
weekly MT November 12
weekly MT November 19
weekly MT November 26
monthly MT November 30
weekly MT December  3
weekly MT December 10
weekly MT December 17
weekly MT December 24
weekly MT December 31
monthly MT December 31
