Audit year: 2021
weekly MT January  7
weekly MT January 14
weekly MT January 21
weekly MT January 28
monthly MT January 31
weekly MT February  4
weekly MT February 11
weekly MT February 18
weekly MT February 25
monthly MT February 28
weekly MT March  4
weekly MT March 11
weekly MT March 18
weekly MT March 25
monthly MT March 31
weekly MT April  1
weekly MT April  8
weekly MT April 15
weekly MT April 22
weekly MT April 29
monthly MT April 30
weekly MT May  6
weekly MT May 13
weekly MT May 20
weekly MT May 27
monthly MT May 31
weekly MT June  3
weekly MT June 10
weekly MT June 17
weekly MT June 24
monthly MT June 30
weekly MT July  1
weekly MT July  8
weekly MT July 15
weekly MT July 22
weekly MT July 29
monthly MT July 31
weekly MT August  5
weekly MT August 12
weekly MT August 19
weekly MT August 26
monthly MT August 31
weekly MT September  2
weekly MT September  9
weekly MT September 16
weekly MT September 23
weekly MT September 30
monthly MT September 30
weekly MT October  7
weekly MT October 14
weekly MT October 21
weekly MT October 28
monthly MT October 31
weekly MT November  4
weekly MT November 11
weekly MT November 18
weekly MT November 25
monthly MT November 30
weekly MT December  2
weekly MT December  9
weekly MT December 16
weekly MT December 23
weekly MT December 30
monthly MT December 31
